systematic,gene,length,RNA_Prints
YAL012W,CYS3,1185,27916.34861
YAL055W,PEX22,543,1325.66844
YAL063C,FLO9,3969,1809.832782
YAL064W,YAL064W,285,13.88073991
YAL041W,CDC24,2565,5972.007669
YAL049C,AIM2,741,5608.190298
YAL031C,GIP4,2283,2761.530716
YAL034C-B,YAL034C-B,354,139.7893966
YAL025C,MAK16,921,8518.843336
YAL040C,CLN3,1743,3359.556376
YAL056C-A,YAL056C-A,351,96.88019762
YAL034W-A,MTW1,870,1546.809319
YAL048C,GEM1,1989,1904.648907
YAL013W,DEP1,1218,3196.962754
YAL067W-A,YAL067W-A,228,0.814618881
YAL032C,PRP45,1140,2066.056051
YAL024C,LTE1,4308,3669.769905
YAL038W,CDC19,1503,504581.5347
YAL026C,DRS2,4068,7967.125347
YAL047C,SPC72,1869,1757.106209
YAL014C,SYN8,768,3160.08171
YAL066W,YAL066W,309,2.356040387
YAL047W-A,YAL047W-A,330,54.44339381
YAL037W,YAL037W,804,878.4152066
YAL054C,ACS1,2142,766.3029224
YAL046C,AIM1,357,3569.672385
YAL039C,CYC3,810,3054.543513
YAL068W-A,YAL068W-A,255,4.968860659
YAL065C,YAL065C,387,475.5511833
YAL015C,NTG1,1200,2575.988678
YAL064W-B,YAL064W-B,381,69.47323919
YAL030W,SNC1,354,2755.507386
YAL016C-A,YAL016C-A,315,162.1840853
YAL016C-B,YAL016C-B,186,51.79857233
YAL059C-A,YAL059C-A,423,286.167349
YAL026C-A,YAL026C-A,438,967.8360969
YAL060W,BDH1,1149,11336.92172
YAL016W,TPD3,1908,13233.20128
YAL045C,YAL045C,309,216.8300286
YAL028W,FRT2,1587,1252.160964
YAL051W,OAF1,3144,3633.984523
YAL019W,FUN30,3396,8228.43432
YAL042C-A,YAL042C-A,378,335.1237867
YAL064C-A,TDA8,381,12.0105928
YAL069W,YAL069W,315,6.991448206
YAL059W,ECM1,639,6182.838717
YAL021C,CCR4,2514,6620.001541
YAL037C-A,YAL037C-A,93,975.4503603
YAL037C-B,YAL037C-B,975,31118.90099
YAL017W,PSK1,4071,5841.509215
YAL067C,SEO1,1782,193.3659932
YAL044C,GCV3,513,19603.40722
YAL056W,GPB2,2643,5123.207917
YAL031W-A,YAL031W-A,309,40.40872797
YAL019W-A,YAL019W-A,570,62.76452944
YAL020C,ATS1,1002,2807.144872
YAL068C,PAU8,363,9.45140949
YAL036C,RBG1,1110,10886.95019
YAL034C,FUN19,1242,1361.852496
YAL053W,FLC2,2352,7589.900801
YAL043C,PTA1,2358,6034.103787
YAL062W,GDH3,1374,887.1893566
YAL033W,POP5,522,4233.903255
YAL063C-A,YAL063C-A,291,49.09825514
YAL044W-A,YAL044W-A,333,2893.664663
YAL023C,PMT2,2280,21640.36095
YAL061W,BDH2,1254,2958.358086
YAL058W,CNE1,1509,3370.050864
YAL029C,MYO4,4416,11396.04726
YAL042W,ERV46,1248,15164.06431
YAL035W,FUN12,3009,37088.69039
YAL022C,FUN26,1554,6330.740399
YAL018C,LDS1,978,25.28377201
YAL027W,SAW1,786,1682.730863
YAL008W,FUN14,597,2185.451193
YAR023C,YAR023C,540,481.0271803
YAR003W,SWD1,1281,4258.922678
YAR028W,YAR028W,705,2398.200715
YAR053W,YAR053W,297,19.54178596
YAR033W,MST28,705,682.9496753
YAR002W,NUP60,1620,6282.800359
YAR030C,YAR030C,342,84.90739977
YAR073W,IMD1,1212,451.0828549
YAR050W,FLO1,4614,1501.351239
YAR042W,SWH1,3567,6086.134539
YAR014C,BUD14,2130,6619.917223
YAR060C,YAR060C,336,5.849583303
YAR019W-A,YAR019W-A,333,42.03171999
YAR035W,YAT1,2064,834.4115623
YAR069C,YAR069C,294,1.760597912
YAL007C,ERP2,648,9386.162708
YAR020C,PAU7,168,75.63775129
YAL001C,TFC3,3483,4911.1444
YAL009W,SPO7,780,2451.668731
YAR068W,YAR068W,486,366.0404028
YAR075W,YAR075W,474,352.1473931
YAR027W,UIP3,708,3720.446124
YAL005C,SSA1,1929,50017.43112
YAR010C,YAR010C_CDS,1323,13316.9458
YAR002C-A,ERP1,660,15617.42334
YAL004W,YAL004W,648,2510.789441
YAR066W,YAR066W,612,124.5290132
YAR029W,YAR029W,225,464.1304036
YAR007C,RFA1,1866,7009.79223
YAR031W,PRM9,897,857.1330172
YAR018C,KIN3,1308,2729.212834
YAL010C,MDM10,1482,2089.14162
YAR009C,YAR009C_CDS,3591,27829.65142
YAR035C-A,YAR035C-A,81,4.00761394
YAL003W,EFB1,621,125735.489
YAR019C,CDC15,2925,1958.561953
YAR070C,YAR070C,300,40.87315509
YAR008W,SEN34,828,2485.599868
YAR047C,YAR047C,321,31.86438485
YAL011W,SWC3,1878,2282.704577
YAR071W,PHO11,1404,2184.117246
YAR015W,ADE1,921,18606.7103
YAL002W,VPS8,3825,3650.82839
YAR064W,YAR064W,300,2.90366338
YER054C,GIP2,1647,842.3982296
YER169W,RPH1,2391,3259.413747
YER114C,BOI2,3123,6274.260963
YEL059C-A,SOM1,225,642.090267
YEL018W,EAF5,840,2852.611492
YEL021W,URA3,804,12869.16251
YEL074W,YEL074W,339,52.98613545
YEL056W,HAT2,1206,4614.159307
YEL058W,PCM1,1674,12230.08342
YEL062W,NPR2,1848,2215.561194
YEL042W,GDA1,1557,10537.23245
YEL050C,RML2,1182,5418.520269
